utc_hour,all_observations,all_events,all_event_rate,all_median_ratio,gap_safe_observations,gap_safe_events,gap_safe_event_rate,gap_safe_median_ratio,strict_observations,strict_events,strict_event_rate,strict_median_ratio,gap_safe_rate_difference,strict_rate_difference,absolute_gap_safe_difference,absolute_strict_difference,excluded_gap_safe_rows,excluded_strict_rows
0,1825,181.0,9.917808219178083,0.2596241715656923,1820,180.0,9.89010989010989,0.2596655560398665,1820,180.0,9.89010989010989,0.2596655560398665,-0.02769832906819225,-0.02769832906819225,0.02769832906819225,0.02769832906819225,5,5
1,1825,152.0,8.32876712328767,0.2378757891283721,1821,152.0,8.347062053816584,0.2378757891283721,1818,152.0,8.360836083608362,0.2378721183156908,0.01829493052891351,0.032068960320691176,0.01829493052891351,0.032068960320691176,4,7
2,1822,122.0,6.695938529088913,0.209867575470027,1819,122.0,6.706981858163827,0.2097798830391247,1818,122.0,6.710671067106711,0.209867575470027,0.011043329074913899,0.014732538017797836,0.011043329074913899,0.014732538017797836,3,4
3,1822,80.0,4.390779363336993,0.18208222448675243,1818,80.0,4.400440044004401,0.1821784073319545,1817,80.0,4.4028618602091365,0.1821589205911337,0.009660680667407995,0.0120824968721438,0.009660680667407995,0.0120824968721438,4,5
4,1822,62.0,3.4028540065861685,0.1823371099144257,1818,62.0,3.4103410341034106,0.1823371099144257,1818,62.0,3.4103410341034106,0.1823371099144257,0.007487027517242062,0.007487027517242062,0.007487027517242062,0.007487027517242062,4,4
5,1823,49.0,2.687877125617115,0.179547319978535,1819,49.0,2.6937877954920286,0.179547319978535,1819,49.0,2.6937877954920286,0.179547319978535,0.005910669874913843,0.005910669874913843,0.005910669874913843,0.005910669874913843,4,4
6,1824,70.0,3.8377192982456143,0.18832741345593415,1819,69.0,3.7932930181418363,0.1884180819991619,1818,69.0,3.7953795379537953,0.18832741345593415,-0.044426280103778026,-0.04233976029181896,0.044426280103778026,0.04233976029181896,5,6
7,1823,79.0,4.333516182117389,0.195687335579862,1818,79.0,4.3454345434543455,0.1957646590300075,1818,79.0,4.3454345434543455,0.1957646590300075,0.011918361336956451,0.011918361336956451,0.011918361336956451,0.011918361336956451,5,5
8,1824,101.0,5.537280701754386,0.22093756735545178,1818,101.0,5.555555555555555,0.22056378644373736,1818,101.0,5.555555555555555,0.22056378644373736,0.018274853801169222,0.018274853801169222,0.018274853801169222,0.018274853801169222,6,6
9,1825,114.0,6.2465753424657535,0.2065429416453429,1818,114.0,6.270627062706271,0.20631475654092063,1818,114.0,6.270627062706271,0.20631475654092063,0.02405172024051705,0.02405172024051705,0.02405172024051705,0.02405172024051705,7,7
10,1825,99.0,5.424657534246576,0.2101463787990451,1819,98.0,5.387575590984057,0.2098184461237743,1819,98.0,5.387575590984057,0.2098184461237743,-0.03708194326251846,-0.03708194326251846,0.03708194326251846,0.03708194326251846,6,6
11,1825,100.0,5.47945205479452,0.2290764753587389,1819,100.0,5.497526113249037,0.2294653287845838,1818,100.0,5.500550055005501,0.22957223818520056,0.01807405845451715,0.02109800021098085,0.01807405845451715,0.02109800021098085,6,7
12,1824,204.0,11.18421052631579,0.2742072468491227,1818,204.0,11.221122112211221,0.27446442397257453,1818,204.0,11.221122112211221,0.27446442397257453,0.03691158589543164,0.03691158589543164,0.03691158589543164,0.03691158589543164,6,6
13,1824,322.0,17.653508771929825,0.3331053094047147,1818,321.0,17.656765676567655,0.33348206321958507,1818,321.0,17.656765676567655,0.33348206321958507,0.003256904637829905,0.003256904637829905,0.003256904637829905,0.003256904637829905,6,6
14,1825,465.0,25.47945205479452,0.3823451811319188,1818,464.0,25.522552255225524,0.3825867744787682,1818,464.0,25.522552255225524,0.3825867744787682,0.04310020043100238,0.04310020043100238,0.04310020043100238,0.04310020043100238,7,7
15,1825,356.0,19.506849315068493,0.3413792860329673,1818,356.0,19.58195819581958,0.3416508689927733,1818,356.0,19.58195819581958,0.3416508689927733,0.07510888075108824,0.07510888075108824,0.07510888075108824,0.07510888075108824,7,7
16,1825,254.0,13.917808219178083,0.321555761023626,1818,254.0,13.97139713971397,0.32191554554954466,1818,254.0,13.97139713971397,0.32191554554954466,0.05358892053588704,0.05358892053588704,0.05358892053588704,0.05358892053588704,7,7
17,1825,223.0,12.219178082191782,0.2782508336197552,1818,222.0,12.211221122112212,0.278336457161358,1818,222.0,12.211221122112212,0.278336457161358,-0.007956960079569697,-0.007956960079569697,0.007956960079569697,0.007956960079569697,7,7
18,1825,185.0,10.136986301369863,0.2676471203541263,1818,185.0,10.176017601760176,0.2666737754950526,1818,185.0,10.176017601760176,0.2666737754950526,0.039031300390313106,0.039031300390313106,0.039031300390313106,0.039031300390313106,7,7
19,1825,169.0,9.26027397260274,0.2608398362065252,1818,169.0,9.295929592959295,0.2614106744273167,1818,169.0,9.295929592959295,0.2614106744273167,0.03565562035655567,0.03565562035655567,0.03565562035655567,0.03565562035655567,7,7
20,1826,172.0,9.41949616648412,0.25529823323577683,1819,171.0,9.400769653655855,0.254330391055712,1819,171.0,9.400769653655855,0.254330391055712,-0.01872651282826432,-0.01872651282826432,0.01872651282826432,0.01872651282826432,7,7
21,1826,147.0,8.05038335158817,0.23661977792826572,1819,145.0,7.971412864211105,0.2367934892126677,1819,145.0,7.971412864211105,0.2367934892126677,-0.07897048737706491,-0.07897048737706491,0.07897048737706491,0.07897048737706491,7,7
22,1826,168.0,9.200438116100766,0.23148936016296506,1819,168.0,9.235843870258384,0.2315173593201256,1819,168.0,9.235843870258384,0.2315173593201256,0.03540575415761715,0.03540575415761715,0.03540575415761715,0.03540575415761715,7,7
23,1826,133.0,7.28368017524644,0.21341233293016398,1820,133.0,7.307692307692308,0.21366727044078077,1820,133.0,7.307692307692308,0.21366727044078077,0.024012132445868417,0.024012132445868417,0.024012132445868417,0.024012132445868417,6,6
