year,utc_hour,observations,movement_events,movement_event_rate,median_movement_ratio
2021,0,360,46.0,12.777777777777777,0.33740932991107636
2021,1,361,24.0,6.64819944598338,0.2458836289407623
2021,2,359,21.0,5.8495821727019495,0.2181994981972822
2021,3,358,25.0,6.983240223463687,0.22623736381749587
2021,4,358,15.0,4.189944134078212,0.23127237996013775
2021,5,359,14.0,3.8997214484679668,0.2210325438878636
2021,6,359,17.0,4.735376044568245,0.2256110076586882
2021,7,358,20.0,5.58659217877095,0.23529903227304666
2021,8,358,31.0,8.659217877094973,0.265630552525735
2021,9,358,29.0,8.100558659217876,0.2540552128156258
2021,10,358,33.0,9.217877094972067,0.24803900622511765
2021,11,358,16.0,4.4692737430167595,0.2501584577410636
2021,12,358,37.0,10.335195530726256,0.2796235982809918
2021,13,358,35.0,9.776536312849162,0.28517165757606366
2021,14,358,41.0,11.452513966480447,0.2782306508424929
2021,15,358,33.0,9.217877094972067,0.2709425814599211
2021,16,358,26.0,7.262569832402235,0.29509553817817413
2021,17,358,21.0,5.865921787709497,0.21810746802911063
2021,18,358,21.0,5.865921787709497,0.2233231486857556
2021,19,358,20.0,5.58659217877095,0.23151521282798726
2021,20,359,34.0,9.47075208913649,0.2614290495121616
2021,21,359,14.0,3.8997214484679668,0.247068723005468
2021,22,359,22.0,6.128133704735376,0.2406066097110484
2021,23,360,24.0,6.666666666666667,0.24820328606405415
2022,0,365,39.0,10.684931506849315,0.2723424444125713
2022,1,365,27.0,7.397260273972603,0.2365247315820912
2022,2,365,15.0,4.10958904109589,0.2271552948417243
2022,3,365,13.0,3.5616438356164384,0.1883594528868066
2022,4,365,16.0,4.383561643835616,0.1821299918001771
2022,5,365,15.0,4.10958904109589,0.1812544704979448
2022,6,365,20.0,5.47945205479452,0.1956781563272684
2022,7,365,17.0,4.657534246575342,0.1988245198017372
2022,8,365,21.0,5.7534246575342465,0.2270090736013632
2022,9,365,21.0,5.7534246575342465,0.2067987637015957
2022,10,365,17.0,4.657534246575342,0.2222950786955304
2022,11,365,31.0,8.493150684931507,0.2592085116475565
2022,12,365,52.0,14.246575342465754,0.3074439649795376
2022,13,365,81.0,22.19178082191781,0.3496250469755153
2022,14,365,87.0,23.835616438356162,0.3963122931045422
2022,15,365,70.0,19.17808219178082,0.3317910910076548
2022,16,365,58.0,15.890410958904111,0.3380613883743381
2022,17,365,41.0,11.232876712328768,0.2938246162648789
2022,18,365,47.0,12.876712328767123,0.2804428129879901
2022,19,365,37.0,10.136986301369863,0.2895257421386117
2022,20,365,39.0,10.684931506849315,0.2763295019170561
2022,21,365,38.0,10.41095890410959,0.2486243521529176
2022,22,365,46.0,12.602739726027398,0.2808404018054181
2022,23,365,39.0,10.684931506849315,0.2599544022605041
2023,0,364,39.0,10.714285714285714,0.25067891846335577
2023,1,364,41.0,11.263736263736265,0.23374488826435375
2023,2,364,33.0,9.065934065934066,0.193712614343895
2023,3,364,19.0,5.21978021978022,0.16115596640234475
2023,4,364,10.0,2.7472527472527473,0.14676927109544197
2023,5,364,12.0,3.296703296703297,0.16388544256080972
2023,6,364,10.0,2.7472527472527473,0.17849870146883962
2023,7,364,11.0,3.021978021978022,0.18718434222216623
2023,8,364,16.0,4.395604395604396,0.2138546291704359
2023,9,364,24.0,6.593406593406594,0.2010189013800081
2023,10,365,20.0,5.47945205479452,0.2005142774526637
2023,11,365,24.0,6.575342465753424,0.2255614833156203
2023,12,364,47.0,12.912087912087914,0.30542526394015057
2023,13,364,66.0,18.13186813186813,0.36019201348134944
2023,14,364,107.0,29.395604395604398,0.42283460243327753
2023,15,364,107.0,29.395604395604398,0.40367318468905533
2023,16,364,82.0,22.52747252747253,0.3697846076119822
2023,17,364,72.0,19.78021978021978,0.34353437070957416
2023,18,364,63.0,17.307692307692307,0.30115356807740146
2023,19,364,59.0,16.208791208791208,0.2928342408504503
2023,20,364,42.0,11.538461538461538,0.26262470851782016
2023,21,364,44.0,12.087912087912088,0.24078750164480325
2023,22,364,39.0,10.714285714285714,0.22602449085597937
2023,23,364,30.0,8.241758241758241,0.20468347091473985
2024,0,366,28.0,7.650273224043716,0.2255709299717441
2024,1,366,30.0,8.19672131147541,0.2354282341269664
2024,2,366,28.0,7.650273224043716,0.2039665605316507
2024,3,366,11.0,3.0054644808743167,0.17876807479550866
2024,4,366,8.0,2.185792349726776,0.16276738439023505
2024,5,366,4.0,1.092896174863388,0.1732870955577669
2024,6,366,15.0,4.098360655737705,0.1725013743352209
2024,7,366,18.0,4.918032786885246,0.18855502490284343
2024,8,366,22.0,6.0109289617486334,0.20455549241329424
2024,9,366,16.0,4.371584699453552,0.19662453777934094
2024,10,366,15.0,4.098360655737705,0.2030421261316939
2024,11,366,13.0,3.551912568306011,0.21811507392147755
2024,12,366,40.0,10.92896174863388,0.2746137721178979
2024,13,366,71.0,19.398907103825135,0.3521108357872744
2024,14,366,115.0,31.420765027322407,0.44602634241166844
2024,15,366,83.0,22.6775956284153,0.3657554581001587
2024,16,366,51.0,13.934426229508196,0.31164363076047397
2024,17,366,52.0,14.207650273224044,0.27911878746748076
2024,18,366,30.0,8.19672131147541,0.27070572359589534
2024,19,366,28.0,7.650273224043716,0.26483603226547203
2024,20,366,32.0,8.743169398907105,0.2478149003585257
2024,21,366,27.0,7.377049180327869,0.22446492797651896
2024,22,366,33.0,9.01639344262295,0.20991562861510799
2024,23,366,22.0,6.0109289617486334,0.19041633514462752
2025,0,365,28.0,7.671232876712329,0.229476324991548
2025,1,365,30.0,8.21917808219178,0.2352672760913213
2025,2,365,25.0,6.8493150684931505,0.20301920136061
2025,3,365,12.0,3.287671232876712,0.1802183398942706
2025,4,365,13.0,3.5616438356164384,0.1830046587685106
2025,5,365,4.0,1.095890410958904,0.1615167153056568
2025,6,365,7.0,1.9178082191780823,0.1803681331149358
2025,7,365,13.0,3.5616438356164384,0.1759733043740207
2025,8,365,11.0,3.0136986301369864,0.1900716758263909
2025,9,365,24.0,6.575342465753424,0.1828474798172196
2025,10,365,13.0,3.5616438356164384,0.1828731680981328
2025,11,365,16.0,4.383561643835616,0.1917389420100962
2025,12,365,28.0,7.671232876712329,0.2188893393953782
2025,13,365,68.0,18.63013698630137,0.3327175980798099
2025,14,365,114.0,31.232876712328768,0.4131681347490482
2025,15,365,63.0,17.26027397260274,0.3542305940513491
2025,16,365,37.0,10.136986301369863,0.3045985598455733
2025,17,365,36.0,9.863013698630137,0.2782508336197552
2025,18,365,24.0,6.575342465753424,0.2542557635385624
2025,19,365,25.0,6.8493150684931505,0.2426436036070264
2025,20,365,24.0,6.575342465753424,0.229216129522765
2025,21,365,22.0,6.027397260273973,0.2146020972799793
2025,22,365,28.0,7.671232876712329,0.2132997899317554
2025,23,365,18.0,4.931506849315069,0.1855452954950258
